ger,eng,fra,ita,cze,rus,pol,spa,por,hun,l10(简体中文),l11(繁体中文),l12(日语),l13(韩语),l14(印地语),l15(阿拉伯语),l16(孟加拉语),l17(印度尼西亚语),l18(土耳其语),l19(斯瓦希里语),META_TYPE,META_DESCRIPTION,META_REFERENCES
Bienenstock,Beehive,,,,,,,,,蜂巢,,,,,,,,,,建筑,生产蜂蜜的建筑,campaign_01_01; houses.ini
Brauerei,Brewery,,,,,,,,,酿酒坊,,,,,,,,,,建筑,酿造蜂蜜酒的建筑,campaign_01_01; houses.ini
Hauptquartier,Headquarters,,,,,,,,,大本营,,,,,,,,,,建筑,每个村庄的基础建筑，用于储存物品和宗教动机,houses.ini
Wohnhaus 1,Dwelling 1,,,,,,,,,一级民居,,,,,,,,,,建筑,可容纳一个家庭的民居,houses.ini
Wohnhaus 2,Dwelling 2,,,,,,,,,二级民居,,,,,,,,,,建筑,可容纳两个家庭的民居,houses.ini
Wohnhaus 3,Dwelling 3,,,,,,,,,三级民居,,,,,,,,,,建筑,可容纳三个家庭的民居,houses.ini
Wohnhaus 4,Dwelling 4,,,,,,,,,四级民居,,,,,,,,,,建筑,可容纳四个家庭的民居,houses.ini
Wohnhaus 5,Dwelling 5,,,,,,,,,五级民居,,,,,,,,,,建筑,可容纳五个家庭的民居,houses.ini
Lagerhaus 1,Warehouse 1,,,,,,,,,一级仓库,,,,,,,,,,建筑,最小的仓库,houses.ini
Lagerhaus 2,Warehouse 2,,,,,,,,,二级仓库,,,,,,,,,,建筑,中型仓库,houses.ini
Lagerhaus 3,Warehouse 3,,,,,,,,,三级仓库,,,,,,,,,,建筑,大型仓库,houses.ini
Brunnen,Well,,,,,,,,,水井,,,,,,,,,,建筑,生产水的建筑,houses.ini
Farm,Farm,,,,,,,,,农场,,,,,,,,,,建筑,种植小麦的建筑,houses.ini
Muhle,Mill,,,,,,,,,磨坊,,,,,,,,,,建筑,将小麦磨成面粉的建筑,houses.ini
Buckerei 1,Bakery 1,,,,,,,,,一级烘焙坊,,,,,,,,,,建筑,烘焙面包的建筑,houses.ini
Buckerei 2,Bakery 2,,,,,,,,,二级烘焙坊,,,,,,,,,,建筑,烘焙蛋糕的建筑,houses.ini
Viehzuchtere,Cattle Farm,,,,,,,,,畜牧场,,,,,,,,,,建筑,养殖动物的建筑,houses.ini
Naherei 1,Tailor's Workshop 1,,,,,,,,,一级裁缝铺,,,,,,,,,,建筑,生产鞋子的建筑,houses.ini
Naherei 2,Tailor's Workshop 2,,,,,,,,,二级裁缝铺,,,,,,,,,,建筑,生产皮甲和布甲的建筑,houses.ini
Topferei 1,Pottery 1,,,,,,,,,一级制陶坊,,,,,,,,,,建筑,生产陶砖的建筑,houses.ini
Topferei 2,Pottery 2,,,,,,,,,二级制陶坊,,,,,,,,,,建筑,生产瓦片的建筑,houses.ini
Topferei 3,Pottery 3,,,,,,,,,三级制陶坊,,,,,,,,,,建筑,生产器皿的建筑,houses.ini
Schreinerei 1,Carpenter's Shop 1,,,,,,,,,一级木匠坊,,,,,,,,,,建筑,生产木质工具的建筑,houses.ini
Schreinerei 2,Carpenter's Shop 2,,,,,,,,,二级木匠坊,,,,,,,,,,建筑,生产家具的建筑,houses.ini
Schreinerei 3,Carpenter's Shop 3,,,,,,,,,三级木匠坊,,,,,,,,,,建筑,生产木矛和手推车的建筑,houses.ini
Schreinerei 4,Carpenter's Shop 4,,,,,,,,,四级木匠坊,,,,,,,,,,建筑,生产船只和牛车的建筑,houses.ini
Waffenhutte 1,Armourer's Shop 1,,,,,,,,,一级武器坊,,,,,,,,,,建筑,生产短弓和长弓的建筑,houses.ini
Waffenhutte 2,Armourer's Shop 2,,,,,,,,,二级武器坊,,,,,,,,,,建筑,生产投石机的建筑,houses.ini
Steinmetzhutte 1,Mason's Shop 1,,,,,,,,,一级石匠坊,,,,,,,,,,建筑,生产石砖的建筑,houses.ini
Steinmetzhutte 2,Mason's Shop 2,,,,,,,,,二级石匠坊,,,,,,,,,,建筑,生产大理石的建筑,houses.ini
Schmiede 1,Smithy 1,,,,,,,,,一级铁匠铺,,,,,,,,,,建筑,生产铁质工具和武器的建筑,houses.ini
Schmiede 2,Smithy 2,,,,,,,,,二级铁匠铺,,,,,,,,,,建筑,生产长剑和铁甲的建筑,houses.ini
Munzpruge,Coin Mint,,,,,,,,,铸币厂,,,,,,,,,,建筑,铸造金币的建筑,houses.ini
Kruuterhutte,Herb Hut,,,,,,,,,草药屋,,,,,,,,,,建筑,采集和种植草药的建筑,houses.ini
Alchemistenhutte 1,Alchemist's Hut 1,,,,,,,,,一级炼金小屋,,,,,,,,,,建筑,生产油的建筑,houses.ini
Alchemistenhutte 2,Alchemist's Hut 2,,,,,,,,,二级炼金小屋,,,,,,,,,,建筑,生产药剂的建筑,houses.ini
Tempel,Temple,,,,,,,,,神庙,,,,,,,,,,建筑,用于宗教动机的建筑,houses.ini
Schule,School,,,,,,,,,学校,,,,,,,,,,建筑,学习新职业的建筑,houses.ini
Kaserne,Barracks,,,,,,,,,兵营,,,,,,,,,,建筑,招募士兵的建筑,houses.ini
Wachturm 1,Defence Tower 1,,,,,,,,,一级箭塔,,,,,,,,,,建筑,防御性建筑,houses.ini
Wachturm 2,Defence Tower 2,,,,,,,,,二级箭塔,,,,,,,,,,建筑,防御性建筑,houses.ini
Wasser,Water,,,,,,,,,水,,,,,,,,,,物品,基础资源,goods.ini
Lehm,Clay,,,,,,,,,黏土,,,,,,,,,,物品,基础资源,goods.ini
Bruchstein,Rubble stone,,,,,,,,,碎石,,,,,,,,,,物品,基础资源,goods.ini
Weizen,Wheat,,,,,,,,,小麦,,,,,,,,,,物品,基础资源,goods.ini
Holz,Wood,,,,,,,,,木材,,,,,,,,,,物品,基础资源,goods.ini
Eisen,Iron,,,,,,,,,铁矿,,,,,,,,,,物品,基础资源,goods.ini
Gold,Gold,,,,,,,,,金矿,,,,,,,,,,物品,基础资源,goods.ini
Munzen,Coins,,,,,,,,,金币,,,,,,,,,,物品,贸易商品,goods.ini
Leder,Leather,,,,,,,,,皮革,,,,,,,,,,物品,原材料,goods.ini
Wolle,Wool,,,,,,,,,羊毛,,,,,,,,,,物品,原材料,goods.ini
Mehl,Flour,,,,,,,,,面粉,,,,,,,,,,物品,加工品,goods.ini
Honig,Honey,,,,,,,,,蜂蜜,,,,,,,,,,物品,加工品,goods.ini
Kruuter,Herbs,,,,,,,,,草药,,,,,,,,,,物品,原材料,goods.ini
Pilze,Mushrooms,,,,,,,,,蘑菇,,,,,,,,,,物品,原材料,goods.ini
Ol,Oil,,,,,,,,,油,,,,,,,,,,物品,加工品,goods.ini
Nahrung,Food,,,,,,,,,食物,,,,,,,,,,物品,消耗品,goods.ini
Kuchen,Cake,,,,,,,,,蛋糕,,,,,,,,,,物品,特殊食物,goods.ini
Fruchte,Fruits,,,,,,,,,水果,,,,,,,,,,物品,食物,goods.ini
Brot,Bread,,,,,,,,,面包,,,,,,,,,,物品,食物,goods.ini
Fleisch,Meat,,,,,,,,,肉,,,,,,,,,,物品,食物,goods.ini
Fisch,Fish,,,,,,,,,鱼,,,,,,,,,,物品,食物,goods.ini
Wurst,Sausage,,,,,,,,,香肠,,,,,,,,,,物品,食物,goods.ini
Backsteine,Bricks,,,,,,,,,陶砖,,,,,,,,,,物品,建筑材料,goods.ini
Dachziegel,Tiles,,,,,,,,,瓦片,,,,,,,,,,物品,建筑材料,goods.ini
Steinblocke,Stone blocks,,,,,,,,,石砖,,,,,,,,,,物品,建筑材料,goods.ini
Marmor,Marble,,,,,,,,,大理石,,,,,,,,,,物品,建筑材料,goods.ini
Geschirr,Crockery,,,,,,,,,器皿,,,,,,,,,,物品,家具,goods.ini
Mobel,Furniture,,,,,,,,,家具,,,,,,,,,,物品,家具,goods.ini
Schuhe,Shoes,,,,,,,,,鞋子,,,,,,,,,,物品,装备,goods.ini
Holzwerkzeuge,Wooden tools,,,,,,,,,木质工具,,,,,,,,,,物品,工具,goods.ini
Eisenwerkzeuge,Iron tools,,,,,,,,,铁质工具,,,,,,,,,,物品,工具,goods.ini
Waffenrock,Tunic,,,,,,,,,布甲,,,,,,,,,,物品,护甲,goods.ini
Lederrustung,Leather armour,,,,,,,,,皮甲,,,,,,,,,,物品,护甲,goods.ini
Kettenhemd,Chain mail,,,,,,,,,锁甲,,,,,,,,,,物品,护甲,goods.ini
Plattenrustung,Plate armour,,,,,,,,,板甲,,,,,,,,,,物品,护甲,goods.ini
Kurzbogen,Short bow,,,,,,,,,短弓,,,,,,,,,,物品,武器,goods.ini
Langbogen,Longbow,,,,,,,,,长弓,,,,,,,,,,物品,武器,goods.ini
Holzspeer,Wooden spear,,,,,,,,,木矛,,,,,,,,,,物品,武器,goods.ini
Eisenspeer,Iron spear,,,,,,,,,铁矛,,,,,,,,,,物品,武器,goods.ini
Kurzschwert,Shortsword,,,,,,,,,短剑,,,,,,,,,,物品,武器,goods.ini
Langschwert,Longsword,,,,,,,,,长剑,,,,,,,,,,物品,武器,goods.ini
Kleiner Nahrungstrank,Small nourishing potion,,,,,,,,,小型营养药水,,,,,,,,,,物品,消耗品,goods.ini
Grosser Nahrungstrank,Large nourishing potion,,,,,,,,,大型营养药水,,,,,,,,,,物品,消耗品,goods.ini
Kleiner Wachtrank,Small stamina potion,,,,,,,,,小型耐力药水,,,,,,,,,,物品,消耗品,goods.ini
Grosser Wachtrank,Large stamina potion,,,,,,,,,大型耐力药水,,,,,,,,,,物品,消耗品,goods.ini
Kleiner Heiltrank,Small healing potion,,,,,,,,,小型治疗药水,,,,,,,,,,物品,消耗品,goods.ini
Grosser Heiltrank,Large healing potion,,,,,,,,,大型治疗药水,,,,,,,,,,物品,消耗品,goods.ini
Nahrungsamulett,Nourishing amulet,,,,,,,,,营养护符,,,,,,,,,,物品,护符,goods.ini
Wachbleibamulett,Stamina amulet,,,,,,,,,耐力护符,,,,,,,,,,物品,护符,goods.ini
Starkeamulett,Strength amulet,,,,,,,,,力量护符,,,,,,,,,,物品,护符,goods.ini
Verteidigungsamulett,Defence amulet,,,,,,,,,防御护符,,,,,,,,,,物品,护符,goods.ini
Trefferamulett,Precision amulet,,,,,,,,,精准护符,,,,,,,,,,物品,护符,goods.ini
Windamulett,Wind amulet,,,,,,,,,疾风护符,,,,,,,,,,物品,护符,goods.ini
Bauarbeiter,Builder,,,,,,,,,建筑工人,,,,,,,,,,职业,建造建筑的职业,jobs.ini
Abbauer,Gatherer,,,,,,,,,采集工,,,,,,,,,,职业,采集资源的职业,jobs.ini
Jager,Hunter,,,,,,,,,猎人,,,,,,,,,,职业,狩猎动物的职业,jobs.ini
Fischer,Fisherman,,,,,,,,,渔夫,,,,,,,,,,职业,捕鱼的职业,jobs.ini
Bauer,Farmer,,,,,,,,,农民,,,,,,,,,,职业,种植小麦的职业,jobs.ini
Muller,Miller,,,,,,,,,磨坊主,,,,,,,,,,职业,磨面粉的职业,jobs.ini
Backer,Baker,,,,,,,,,面包师,,,,,,,,,,职业,烘焙面包的职业,jobs.ini
Viehzuchter,Livestock breeder,,,,,,,,,畜牧工,,,,,,,,,,职业,养殖动物的职业,jobs.ini
Nahermeister,Tailor,,,,,,,,,裁缝,,,,,,,,,,职业,制作衣物的职业,jobs.ini
Topfer,Potter,,,,,,,,,陶工,,,,,,,,,,职业,制作陶器的职业,jobs.ini
Schreiner,Carpenter,,,,,,,,,木工,,,,,,,,,,职业,制作木制品的职业,jobs.ini
Waffenbauer,Weaponsmith,,,,,,,,,武器匠,,,,,,,,,,职业,制作武器的职业,jobs.ini
Steinmetz,Mason,,,,,,,,,石匠,,,,,,,,,,职业,制作石材制品的职业,jobs.ini
Schmied,Blacksmith,,,,,,,,,铁匠,,,,,,,,,,职业,锻造铁制品的职业,jobs.ini
Munzpruger,Coin minter,,,,,,,,,铸币师,,,,,,,,,,职业,铸造金币的职业,jobs.ini
Kruutersammler,Herb gatherer,,,,,,,,,草药采集者,,,,,,,,,,职业,采集草药的职业,jobs.ini
Druide,Druid,,,,,,,,,德鲁伊,,,,,,,,,,职业,村庄的智者与祭司,jobs.ini
Soldat,Soldier,,,,,,,,,士兵,,,,,,,,,,职业,战斗单位,jobs.ini
Kundschafter,Scout,,,,,,,,,侦察兵,,,,,,,,,,职业,探索和发现,jobs.ini
Trager,Carrier,,,,,,,,,搬运工,,,,,,,,,,职业,搬运物品,jobs.ini
Handler,Trader,,,,,,,,,商人,,,,,,,,,,职业,贸易,jobs.ini
Wikinger,Vikings,,,,,,,,,维京人,,,,,,,,,,种族,北欧海盗民族,tribes.ini
Ägypterdörfchen,Egyptian Village,,,,,,,,,埃及小村,,,,,,,,,,地名,教程地图中尼罗河畔的埃及人村落,tutorial_001
Wikingersoldat,Viking Soldier,,,,,,,,,维京战士,,,,,,,,,,军事,维京战斗单位（游戏中称 Wikingersoldat）,tutorial_001; tutorial_007
Sarazenen,Saracens,,,,,,,,,撒拉逊人,,,,,,,,,,种族,阿拉伯民族,tribes.ini
Franken,Franks,,,,,,,,,法兰克人,,,,,,,,,,种族,西欧民族,tribes.ini
Byzanz,Byzantines,,,,,,,,,拜占庭人,,,,,,,,,,种族,东罗马帝国民族,tribes.ini
Eskimo,Eskimos,,,,,,,,,爱斯基摩人,,,,,,,,,,种族,北极民族,tribes.ini
S-KI-MOS,,,,,,,,,,爱斯基摩人,,,,,,,,,,种族,北极民族（德语变体写法，同 Eskimos）,map_xml_user/Campaign01
Ykol,Ykol,,,,,,,,,伊科尔,,,,,,,,,,角色,特殊NPC,wonders001.ini
Wolfe,Wolves,,,,,,,,,狼群,,,,,,,,,,生物,野生动物,chesttypes.ini
Lowen,Lions,,,,,,,,,狮子,,,,,,,,,,生物,野生动物,chesttypes.ini
Werwolf,Werewolf,,,,,,,,,狼人,,,,,,,,,,生物,神话生物,tribes.ini
Katapult,Catapult,,,,,,,,,投石机,,,,,,,,,,车辆,攻城武器,vehicletypes.ini
Handkarren,Handcart,,,,,,,,,手推车,,,,,,,,,,车辆,运输工具,vehicletypes.ini
Ochsenkarren,Ox Cart,,,,,,,,,牛车,,,,,,,,,,车辆,运输工具,vehicletypes.ini
Schiff,Ship,,,,,,,,,船只,,,,,,,,,,车辆,水上交通工具,vehicletypes.ini
Grosses Schiff,Big Ship,,,,,,,,,大型船只,,,,,,,,,,车辆,水上交通工具,vehicletypes.ini
Mission,Mission,,,,,,,,,任务,,,,,,,,,,游戏术语,游戏中的任务,ingameguimessages.ini
Kampagne,Campaign,,,,,,,,,战役,,,,,,,,,,游戏术语,一系列任务,mainmenu.ini
Tutorial,Tutorial,,,,,,,,,教程,,,,,,,,,,游戏术语,教学模式,odin001.ini
Saga,Saga,,,,,,,,,萨迦,,,,,,,,,,游戏术语,北欧传奇故事,saga001.ini
Mythologie,Mythology,,,,,,,,,神话,,,,,,,,,,游戏术语,北欧神话,odin001.ini
Aggressiv,Aggressive,,,,,,,,,进攻,,,,,,,,,,军事模式,士兵进攻模式,militarymodes.ini
Defensiv,Defensive,,,,,,,,,防御,,,,,,,,,,军事模式,士兵防御模式,militarymodes.ini
Ignorant,Ignorant,,,,,,,,,无视,,,,,,,,,,军事模式,士兵无视模式,militarymodes.ini
Fliehen,Flee,,,,,,,,,逃跑,,,,,,,,,,军事模式,士兵逃跑模式,militarymodes.ini
Freundlich,Friend,,,,,,,,,友好,,,,,,,,,,外交状态,友好关系,ingameguimisclogic.ini
Neutral,Neutral,,,,,,,,,中立,,,,,,,,,,外交状态,中立关系,ingameguimisclogic.ini
Feindlich,Enemy,,,,,,,,,敌对,,,,,,,,,,外交状态,敌对关系,ingameguimisclogic.ini
Sigurd,Sigurd,,,,,,,,,西格德,,,,,,,,,,人名,Bjarni的好友，维京勇士,campaign_01_04; campaign_02_01; campaign_02_03
Cyra,Cyra,,,,,,,,,希拉,,,,,,,,,,人名,Bjarni的妻子，参与封印芬里尔狼,campaign_01_05; campaign_02_06
Hatschi,Hatchie,,,,,,,,,哈奇,,,,,,,,,,人名,阿拉伯朋友，二代主线配角,campaign_01_10; campaign_02_01
Mani,Mani,,,,,,,,,玛尼,,,,,,,,,,人名,第八世界奇迹主角之一,_campaign_04_01; campaign_03_01
Norbert,Norbert,,,,,,,,,诺伯特,,,,,,,,,,人名,龙，Mani的伙伴,_campaign_04_01; campaign_03_02
Miguel,Miguel,,,,,,,,,米格尔,,,,,,,,,,人名,singleplayer_02_01 角色,campaign_02_01; singleplayer_02_01
Gunnar,Gunnar,,,,,,,,,古纳尔,,,,,,,,,,人名,campaign_03_03 角色,campaign_03_03
Herostrates,Herostrates,,,,,,,,,赫罗斯特拉特斯,,,,,,,,,,人名,纵火者，为求名焚毁阿尔忒弥斯神庙,campaign_03_05; campaign_03_05_sub1
Rothild,Rothild,,,,,,,,,罗希尔德,,,,,,,,,,人名,_campaign_04_01_sub3 角色,_campaign_04_01_sub3
Blaustrumpf,Blaustrumpf,,,,,,,,,布劳施特鲁姆夫,,,,,,,,,,人名,_campaign_04_01_sub3 角色,_campaign_04_01_sub3
Pyro,Pyro,,,,,,,,,派罗,,,,,,,,,,人名,火龙，_campaign_04_02 角色,_campaign_04_02; _campaign_04_02_sub1
Aquarius,Aquarius,,,,,,,,,阿夸里乌斯,,,,,,,,,,人名,水龙,_campaign_04_01_sub1; _campaign_04_01_sub2
Aquarom,Aquarom,,,,,,,,,阿夸罗姆,,,,,,,,,,人名,_campaign_04_03_sub1 角色,_campaign_04_03_sub1; _campaign_04_05_sub1
Kobul,Kobul,,,,,,,,,科布尔,,,,,,,,,,人名,campaign_03_02 角色,campaign_03_02; _campaign_04_04
Terras,Terras,,,,,,,,,特拉斯,,,,,,,,,,人名,地龙,_campaign_04_04_sub2; _campaign_04_05
Abras,Abras,,,,,,,,,阿布拉斯,,,,,,,,,,人名,水龙,_campaign_04_04_sub2; _campaign_04_05
Lumis,Lumis,,,,,,,,,卢米斯,,,,,,,,,,人名,_campaign_04_01 角色,_campaign_04_01; _campaign_04_02
Gerols,Gerols,,,,,,,,,格罗尔斯,,,,,,,,,,人名,_campaign_04_01 角色,_campaign_04_01; _campaign_04_03; _campaign_04_05
Jafar,Jafar,,,,,,,,,贾法尔,,,,,,,,,,人名,campaign_01_08 角色,campaign_01_08
Ali Baba,Ali Baba,,,,,,,,,阿里巴巴,,,,,,,,,,人名,campaign_01_08 角色,campaign_01_08
Sindbad,Sindbad,,,,,,,,,辛巴达,,,,,,,,,,人名,campaign_01_10 角色,campaign_01_10
Heimdall,Heimdall,,,,,,,,,海姆达尔,,,,,,,,,,人名,北欧神话，彩虹桥守卫者,campaign_02_07; campaign_02_07-sub
Loki,Loki,,,,,,,,,洛基,,,,,,,,,,人名,北欧神话，诡计之神，Ykol的真身,campaign_02_08
Hardradi,Hardradi,,,,,,,,,哈德拉迪,,,,,,,,,,人名,拜占庭将军,campaign_01_06; campaign_01_07
Sven Herulfson,Sven Herulfson,,,,,,,,,斯文·赫鲁尔夫松,,,,,,,,,,人名,campaign_01_07 角色,campaign_01_07
Wieland,Wieland,,,,,,,,,维兰,,,,,,,,,,人名,传奇铁匠,campaign_01_03
Robin Hood,Robin Hood,,,,,,,,,罗宾汉,,,,,,,,,,人名,英格兰传奇英雄,campaign_01_03
Knut,Knut,,,,,,,,,克努特,,,,,,,,,,人名,教程角色,tutorial_001
Ulla,Ulla,,,,,,,,,乌拉,,,,,,,,,,人名,教程角色,tutorial_001
Thorbjorn,Thorbjorn,,,,,,,,,托尔比约恩,,,,,,,,,,人名,教程角色,tutorial_001
Kari,Kari,,,,,,,,,卡里,,,,,,,,,,人名,教程角色,tutorial_001
Groa,Groa,,,,,,,,,格罗阿,,,,,,,,,,人名,教程角色,tutorial_001
Ljotolf,Ljotolf,,,,,,,,,约托尔夫,,,,,,,,,,人名,教程角色,tutorial_001
Thorfinn,Thorfinn,,,,,,,,,托尔芬,,,,,,,,,,人名,教程角色,tutorial_005
Lodin,Lodin,,,,,,,,,洛丁,,,,,,,,,,人名,教程角色,tutorial_005
Lehmi,Lehmi,,,,,,,,,莱米,,,,,,,,,,人名,教程角色,tutorial_005
Steini,Steini,,,,,,,,,施泰尼,,,,,,,,,,人名,教程角色,tutorial_005
Sturla,Sturla,,,,,,,,,斯图尔拉,,,,,,,,,,人名,教程角色,tutorial_005
Ari,Ari,,,,,,,,,阿里,,,,,,,,,,人名,教程角色,tutorial_005
Chares,Chares,,,,,,,,,卡雷斯,,,,,,,,,,人名,罗德岛太阳神巨像建筑师,campaign_03_03
Demetrios,Demetrios,,,,,,,,,德米特里奥斯,,,,,,,,,,人名,campaign_03_03 角色,campaign_03_03_sub1; campaign_03_03_sub2
Plato,Plato,,,,,,,,,柏拉图,,,,,,,,,,人名,campaign_03_03 角色,campaign_03_03
Sostratos,Sostratos,,,,,,,,,索斯特拉托斯,,,,,,,,,,人名,法罗斯灯塔建筑师,campaign_03_01
Croesus,Croesus,,,,,,,,,克罗伊斯,,,,,,,,,,人名,campaign_03_03 角色,campaign_03_03
Mausolos,Mausolos,,,,,,,,,毛索洛斯,,,,,,,,,,人名,哈利卡纳苏斯国王，陵墓主人,campaign_03_04
Artemisia,Artemisia,,,,,,,,,阿尔特米西亚,,,,,,,,,,人名,摩索拉斯王之妻,campaign_03_04
Satyros,Satyros,,,,,,,,,萨提罗斯,,,,,,,,,,人名,campaign_03_04 角色,campaign_03_04
Halikarnassos,Halikarnassos,,,,,,,,,哈利卡纳苏斯,,,,,,,,,,地名,卡里亚之都,campaign_03_04
Osirer,Osirer,,,,,,,,,奥西里斯族,,,,,,,,,,部族,奉冥界之神为名的埃及裔族裔,campaign_03_04
Al Rhababa,Al Rhababa,,,,,,,,,阿尔拉哈巴,,,,,,,,,,部族,哈利卡纳苏斯外海海盗,campaign_03_04
El Arab,El Arab,,,,,,,,,埃尔阿拉布,,,,,,,,,,部族,山脚部族,campaign_03_04
Letros,Letros,,,,,,,,,莱特罗斯,,,,,,,,,,人名,箱商,campaign_03_04
Amulos,Amulos,,,,,,,,,阿穆洛斯,,,,,,,,,,人名,箱商,campaign_03_04
Vinos,Vinos,,,,,,,,,维诺斯,,,,,,,,,,人名,箱商,campaign_03_04
Tut Ma' Nix,Tut Ma' Nix,,,,,,,,,塔特·马·尼克斯,,,,,,,,,,人名,奥西里斯族大祭司,campaign_03_04
Phidias,Phidias,,,,,,,,,菲狄亚斯,,,,,,,,,,人名,宙斯神像雕塑家,campaign_03_06
Amelia,Amelia,,,,,,,,,阿梅利亚,,,,,,,,,,人名,campaign_03_05 角色,campaign_03_05
Hermeias,Hermeias,,,,,,,,,赫尔梅亚斯,,,,,,,,,,人名,campaign_03_05 角色,campaign_03_05
Artemis,Artemis,,,,,,,,,阿尔忒弥斯,,,,,,,,,,神明,狩猎与月亮女神,campaign_03_05
Ephesos,Ephesos,,,,,,,,,以弗所,,,,,,,,,,地名,小亚细亚古城，阿尔忒弥斯神庙所在地,campaign_03_05
Sumpfvolk,swamp tribe,,,,,,,,,沼泽部族,,,,,,,,,,部族,居于沼泽边缘之族,campaign_03_05_sub2
Sumpfweisen,swamp sages,,,,,,,,,沼泽智者,,,,,,,,,,部族,隐于沼泽深处的智者,campaign_03_05_sub2
Lebensenergie,life energy,,,,,,,,,生命能量,,,,,,,,,,概念,沼泽中的奇异魔法能量,campaign_03_05_sub2
Anthusa,Anthusa,,,,,,,,,安图萨,,,,,,,,,,人名,campaign_03_06 角色,campaign_03_06
Destasia,Destasia,,,,,,,,,德斯塔西亚,,,,,,,,,,人名,campaign_03_06 角色,campaign_03_06
Pasara,Pasara,,,,,,,,,帕萨拉,,,,,,,,,,人名,campaign_03_06 角色,campaign_03_06
Olympia,Olympia,,,,,,,,,奥林匹亚,,,,,,,,,,地名,宙斯巨像所在地，奥林匹克竞技发源地,campaign_03_06
